fecha,hora,origen,hum,temp,temp_clima,ventana,ventilador,estado_dia
01-09-2025,11:33:25,ESP32,49.6,22.4,14.7,False,False,True
01-09-2025,11:33:28,ESP32,49.6,22.5,14.7,False,False,True
01-09-2025,11:33:35,ESP32,49.6,22.5,14.7,False,False,True
01-09-2025,11:33:37,ESP32,49.5,22.5,14.7,False,False,True
01-09-2025,11:33:43,ESP32,49.7,22.5,14.7,False,False,True
01-09-2025,11:33:45,ESP32,49.9,22.5,14.7,False,False,True
01-09-2025,11:33:48,ESP32,49.9,22.5,14.7,False,False,True
01-09-2025,11:33:52,ESP32,49.8,22.5,14.7,False,False,True
01-09-2025,11:33:55,ESP32,49.9,22.5,14.7,False,False,True
01-09-2025,11:34:00,ESP32,49.8,22.5,14.7,False,False,True
01-09-2025,11:34:02,ESP32,49.7,22.5,14.7,False,False,True
01-09-2025,11:34:05,ESP32,49.7,22.5,14.7,False,False,True
01-09-2025,11:34:07,ESP32,49.7,22.6,14.7,False,False,True
01-09-2025,11:34:09,ESP32,49.7,22.6,14.7,False,False,True
01-09-2025,11:34:11,ESP32,49.6,22.6,14.7,False,False,True
01-09-2025,11:34:19,ESP32,49.4,22.6,14.7,False,False,True
01-09-2025,11:34:23,ESP32,49.4,22.6,14.7,False,False,True
01-09-2025,11:34:26,ESP32,49.4,22.6,14.7,False,False,True
01-09-2025,11:34:28,ESP32,49.5,22.6,14.7,False,False,True
01-09-2025,11:34:32,ESP32,49.6,22.6,14.7,False,False,True
01-09-2025,11:34:34,ESP32,49.3,22.6,14.7,False,False,True
01-09-2025,11:34:37,ESP32,49.4,22.6,14.7,False,False,True
01-09-2025,11:34:39,ESP32,49.4,22.6,14.7,False,False,True
01-09-2025,11:34:40,ESP32,49.4,22.6,14.7,False,False,True
01-09-2025,11:34:42,ESP32,49.5,22.6,14.7,False,False,True
01-09-2025,11:34:44,ESP32,49.5,22.6,14.7,False,False,True
01-09-2025,11:34:48,ESP32,49.4,22.6,14.7,False,False,True
01-09-2025,11:34:49,ESP32,49.6,22.6,14.7,False,False,True
01-09-2025,11:34:53,ESP32,49.7,22.6,14.7,False,False,True
01-09-2025,11:34:55,ESP32,49.7,22.6,14.7,False,False,True
01-09-2025,11:34:58,ESP32,49.7,22.6,14.7,False,False,True
01-09-2025,11:35:11,ESP32,49.6,22.6,14.7,False,False,True
01-09-2025,11:35:15,ESP32,49.3,22.6,14.7,False,False,True
01-09-2025,11:35:16,ESP32,48.9,22.6,14.7,False,False,True
01-09-2025,11:35:18,ESP32,48.9,22.6,14.7,False,False,True
01-09-2025,11:35:21,ESP32,48.4,22.6,14.7,False,False,True
01-09-2025,11:35:27,ESP32,48.4,22.6,14.7,False,False,True
01-09-2025,11:35:30,ESP32,48.3,22.6,14.7,False,False,True
01-09-2025,11:35:32,ESP32,48.5,22.7,14.7,False,False,True
01-09-2025,11:35:35,ESP32,48.7,22.6,14.7,False,False,True
01-09-2025,11:35:37,ESP32,48.6,22.7,14.7,False,False,True
01-09-2025,11:35:39,ESP32,48.5,22.6,14.7,False,False,True
01-09-2025,11:35:41,ESP32,48.5,22.6,14.7,False,False,True
01-09-2025,11:35:43,ESP32,48.9,22.7,14.7,False,False,True
01-09-2025,11:35:46,ESP32,48.8,22.7,14.7,False,False,True
01-09-2025,11:35:48,ESP32,48.8,22.7,14.7,False,False,True
01-09-2025,11:35:50,ESP32,72.8,27.3,14.7,False,False,True
01-09-2025,11:35:54,ESP32,92.5,31.2,14.7,False,False,True
01-09-2025,11:35:55,ESP32,99.9,31.8,14.7,False,False,True
01-09-2025,11:35:58,ESP32,99.9,31.8,14.7,False,False,True
01-09-2025,11:36:03,ESP32,99.9,31.8,14.7,False,False,True
01-09-2025,11:36:09,ESP32,99.9,30.7,14.7,False,False,True
01-09-2025,11:36:12,ESP32,99.9,29.7,14.7,False,False,True
01-09-2025,11:36:14,ESP32,99.9,29.4,14.7,False,False,True
01-09-2025,11:36:19,ESP32,99.9,29.1,14.7,False,False,True
01-09-2025,11:36:23,ESP32,99.9,28.5,14.7,False,False,True
01-09-2025,11:36:29,ESP32,99.9,28.3,14.7,False,False,True
01-09-2025,11:36:32,ESP32,96.9,27.8,14.7,False,False,True
01-09-2025,11:36:35,ESP32,96.2,27.4,14.7,False,False,True
01-09-2025,11:36:40,ESP32,95.7,27.2,14.7,False,False,True
01-09-2025,11:36:43,ESP32,95.6,26.9,14.7,False,False,True
01-09-2025,11:36:46,ESP32,95.4,26.8,14.7,False,False,True
01-09-2025,11:36:49,ESP32,95.4,26.6,14.7,False,False,True
01-09-2025,11:36:55,ESP32,95.0,26.4,14.7,False,False,True
01-09-2025,11:37:00,ESP32,94.1,26.1,14.7,False,False,True
01-09-2025,11:37:07,ESP32,92.8,25.8,14.7,False,False,True
01-09-2025,11:37:08,ESP32,92.1,25.6,14.7,False,False,True
01-09-2025,11:37:15,ESP32,91.9,25.5,14.7,False,False,True
01-09-2025,11:37:22,ESP32,91.6,25.2,14.7,False,False,True
01-09-2025,11:37:25,ESP32,91.3,25.0,14.7,False,False,True
01-09-2025,11:37:29,ESP32,91.1,24.9,14.7,False,False,True
01-09-2025,11:37:35,ESP32,90.9,24.8,14.7,False,False,True
01-09-2025,11:37:57,ESP32,88.8,24.3,14.7,False,False,True
01-09-2025,11:38:01,ESP32,90.2,24.6,14.7,False,False,True
01-09-2025,11:38:01,ESP32,87.7,24.1,14.7,False,False,True
01-09-2025,11:38:07,ESP32,87.0,23.9,14.7,False,False,True
01-09-2025,11:38:10,ESP32,87.3,23.8,14.7,False,False,True
01-09-2025,11:38:27,ESP32,86.3,23.5,14.7,False,False,True
01-09-2025,11:38:36,ESP32,86.8,23.8,14.7,False,False,True
01-09-2025,11:38:36,ESP32,85.4,23.4,14.7,False,False,True
01-09-2025,11:38:37,ESP32,84.7,23.3,14.7,False,False,True
01-09-2025,11:38:49,ESP32,84.2,23.3,14.7,False,False,True
01-09-2025,11:39:01,ESP32,83.9,23.1,14.7,False,False,True
01-09-2025,11:39:05,ESP32,83.1,23.0,14.7,False,False,True
01-09-2025,11:39:08,ESP32,82.0,22.9,14.7,False,False,True
01-09-2025,11:39:10,ESP32,83.9,23.2,14.7,False,False,True
01-09-2025,11:39:11,ESP32,81.5,22.9,14.7,False,False,True
01-09-2025,11:39:15,ESP32,81.4,22.9,14.7,False,False,True
01-09-2025,11:39:25,ESP32,80.9,22.8,14.7,False,False,True
01-09-2025,11:39:27,ESP32,81.4,22.8,14.7,False,False,True
01-09-2025,11:39:27,ESP32,80.2,22.8,14.7,False,False,True
01-09-2025,11:39:34,ESP32,80.2,22.8,14.7,False,False,True
01-09-2025,11:39:37,ESP32,79.7,22.7,14.7,False,False,True
01-09-2025,11:39:39,ESP32,79.7,22.7,14.7,False,False,True
01-09-2025,11:39:42,ESP32,79.2,22.6,14.7,False,False,True
01-09-2025,11:39:44,ESP32,78.8,22.6,14.7,False,False,True
01-09-2025,11:39:47,ESP32,78.3,22.6,14.7,False,False,True
01-09-2025,11:39:49,ESP32,77.8,22.6,14.7,False,False,True
01-09-2025,11:39:51,ESP32,77.8,22.6,14.7,False,False,True
01-09-2025,11:39:53,ESP32,77.0,22.6,14.7,False,False,True
01-09-2025,11:39:55,ESP32,77.0,22.6,14.7,False,False,True
01-09-2025,11:39:57,ESP32,76.1,22.5,14.7,False,False,True
01-09-2025,11:40:03,ESP32,75.5,22.5,14.7,False,False,True
01-09-2025,11:40:05,ESP32,74.3,22.6,14.7,False,False,True
01-09-2025,11:40:11,ESP32,74.0,22.6,14.7,False,False,True
01-09-2025,11:40:14,ESP32,72.8,22.5,14.7,False,False,True
01-09-2025,11:40:17,ESP32,72.3,22.5,14.7,False,False,True
01-09-2025,11:40:32,ESP32,70.9,22.5,14.7,False,False,True
01-09-2025,11:40:39,ESP32,71.4,22.5,14.7,False,False,True
01-09-2025,11:40:41,ESP32,68.1,22.5,14.7,False,False,True
01-09-2025,11:40:43,ESP32,69.5,22.5,14.7,False,False,True
01-09-2025,11:40:46,ESP32,67.0,22.5,14.7,False,False,True
01-09-2025,11:40:49,ESP32,65.8,22.4,14.7,False,False,True
01-09-2025,11:40:52,ESP32,65.5,22.5,14.7,False,False,True
01-09-2025,11:40:54,ESP32,64.3,22.5,14.7,False,False,True
01-09-2025,11:41:02,ESP32,64.4,22.4,14.7,False,False,True
01-09-2025,11:41:04,ESP32,64.3,22.5,14.7,False,False,True
01-09-2025,11:41:05,ESP32,64.1,22.4,14.7,False,False,True
01-09-2025,11:41:07,ESP32,64.1,22.4,14.7,False,False,True
01-09-2025,11:41:09,ESP32,63.6,22.5,14.7,False,False,True
01-09-2025,11:41:11,ESP32,63.6,22.5,14.7,False,False,True
01-09-2025,11:41:14,ESP32,63.5,22.4,14.7,False,False,True
01-09-2025,11:41:16,ESP32,63.1,22.4,14.7,False,False,True
01-09-2025,11:41:18,ESP32,63.1,22.4,14.7,False,False,True
01-09-2025,11:41:20,ESP32,63.2,22.4,14.7,False,False,True
01-09-2025,11:41:22,ESP32,63.0,22.4,14.7,False,False,True
01-09-2025,11:41:25,ESP32,62.9,22.4,14.7,False,False,True
01-09-2025,11:41:27,ESP32,62.9,22.4,14.7,False,False,True
01-09-2025,11:41:31,ESP32,62.4,22.4,14.7,False,False,True
01-09-2025,11:41:33,ESP32,62.1,22.4,14.7,False,False,True
01-09-2025,11:41:35,ESP32,61.5,22.4,14.7,False,False,True
01-09-2025,11:41:38,ESP32,61.2,22.4,14.7,False,False,True
01-09-2025,11:41:40,ESP32,61.1,22.4,14.7,False,False,True
01-09-2025,11:41:42,ESP32,61.1,22.4,14.7,False,False,True
01-09-2025,11:41:44,ESP32,61.0,22.4,14.7,False,False,True
01-09-2025,11:41:47,ESP32,61.1,22.4,14.7,False,False,True
01-09-2025,11:41:49,ESP32,60.9,22.3,14.7,False,False,True
01-09-2025,11:41:51,ESP32,60.9,22.3,14.7,False,False,True
01-09-2025,11:41:55,ESP32,60.3,22.4,14.7,False,False,True
01-09-2025,11:42:16,ESP32,58.7,22.4,14.7,False,False,True
01-09-2025,11:42:17,ESP32,59.6,22.3,14.7,False,False,True
01-09-2025,11:42:19,ESP32,58.2,22.4,14.7,False,False,True
01-09-2025,11:42:21,ESP32,58.1,22.3,14.7,False,False,True
01-09-2025,11:42:23,ESP32,58.1,22.3,14.7,False,False,True
01-09-2025,11:42:32,ESP32,57.9,22.3,14.7,False,False,True
01-09-2025,11:42:36,ESP32,58.0,22.4,14.7,False,False,True
01-09-2025,11:42:42,ESP32,57.8,22.3,14.7,False,False,True
01-09-2025,11:42:45,ESP32,57.2,22.3,14.7,False,False,True
01-09-2025,11:43:02,ESP32,56.5,22.4,14.7,False,False,True
01-09-2025,11:43:04,ESP32,57.0,22.3,14.7,False,False,True
01-09-2025,11:43:05,ESP32,56.1,22.3,14.7,False,False,True
01-09-2025,11:43:08,ESP32,55.8,22.4,14.7,False,False,True
01-09-2025,11:43:31,ESP32,55.1,22.4,14.7,False,False,True
01-09-2025,11:43:31,ESP32,54.7,22.4,14.7,False,False,True
01-09-2025,11:43:37,ESP32,54.6,22.4,14.7,False,False,True
01-09-2025,11:43:39,ESP32,54.7,22.3,14.7,False,False,True
01-09-2025,11:43:42,ESP32,54.7,22.3,14.7,False,False,True
01-09-2025,11:43:44,ESP32,54.5,22.4,14.7,False,False,True
01-09-2025,11:43:50,ESP32,54.5,22.4,14.7,False,False,True
01-09-2025,11:43:53,ESP32,54.2,22.4,14.7,False,False,True
01-09-2025,11:43:56,ESP32,53.9,22.4,14.7,False,False,True
